"","x"
"1",0.151073859275931
"2",0.132919123383187
"3",0.232716990125875
"4",-0.152490423828038
"5",0.496474222654283
"6",0.237007064011569
"7",-0.356177497119495
"8",-0.168624882107838
"9",-0.0260198657745399
"10",0.133758876528094
"11",-0.285055475648077
"12",0.761943184200407
"13",0.116117243046642
"14",0.294764303568945
"15",0.223312810251109
"16",-0.0184715385904779
"17",-0.0267845217428038
"18",-0.166206069612892
"19",-0.300462047674166
"20",0.13088884074107
"21",-0.246698117368637
"22",-0.122181905419513
"23",0.0976660744736781
"24",-0.0939545098377277
"25",-0.375576867375824
"26",-0.340169832966635
"27",0.107595208441572
"28",-0.252386433367899
"29",-0.137960394349009
"30",-0.0470264693046598
