"","year","SSB","R"
"1",1982,12199.024806544,406.008626349132
"2",1983,15266.6802487727,498.965197137292
"3",1984,15072.0255125452,544.30074451613
"4",1985,19114.2175831613,469.602476908387
"5",1986,23544.4161359296,1106.88765422344
"6",1987,28769.3625300393,1043.42371247129
"7",1988,34764.4376179111,696.704939760559
"8",1989,38219.4878668292,923.956682021338
"9",1990,48535.1008437718,1353.17901858759
"10",1991,61891.0778406991,1698.84574592124
"11",1992,63966.5551214763,1117.54542482446
"12",1993,38839.77728982,2381.13519627877
"13",1994,53404.2881085144,1669.13814769044
"14",1995,47322.3886251099,1818.36377711948
"15",1996,54484.9958939703,1858.00434921053
"16",1997,54385.0358912439,1458.95238311522
"17",1998,47917.1387782513,1334.92882471449
"18",1999,46090.765237477,1116.94334008896
"19",2000,59847.9702517999,1100.45983389327
"20",2001,53370.621742257,1693.97698793069
"21",2002,48781.2058248814,1090.71805826637
"22",2003,42719.428831978,1081.83770385212
"23",2004,40095.375096315,1265.05591338499
"24",2005,39311.7177364324,1024.0418341628
"25",2006,38335.9778733083,753.520700800662
"26",2007,37564.6904096159,764.971993974764
"27",2008,27604.8816464638,879.657273239616
"28",2009,23079.3343674408,513.112798047032
"29",2010,22902.9141176035,570.919543268904
"30",2011,21427.8994152083,585
