"","year","ssb","recruit","rps"
"1",1982,12199.024806544,406.008626349132,0.033282055966583
"2",1983,15266.6802487727,498.965197137292,0.0326832807792255
"3",1984,15072.0255125452,544.30074451613,0.036113310985513
"4",1985,19114.2175831613,469.602476908387,0.0245682291134995
"5",1986,23544.4161359296,1106.88765422344,0.0470127459450689
"6",1987,28769.3625300393,1043.42371247129,0.0362685725615855
"7",1988,34764.4376179111,696.704939760559,0.0200407366694063
"8",1989,38219.4878668292,923.956682021338,0.0241750147265381
"9",1990,48535.1008437718,1353.17901858759,0.0278804204598914
"10",1991,61891.0778406991,1698.84574592124,0.0274489604187195
"11",1992,63966.5551214763,1117.54542482446,0.0174707770756479
"12",1993,38839.77728982,2381.13519627877,0.0613066130248608
"13",1994,53404.2881085144,1669.13814769044,0.0312547588743969
"14",1995,47322.3886251099,1818.36377711948,0.0384250210090754
"15",1996,54484.9958939703,1858.00434921053,0.0341012111449228
"16",1997,54385.0358912439,1458.95238311522,0.0268263569051008
"17",1998,47917.1387782513,1334.92882471449,0.0278591096787354
"18",1999,46090.765237477,1116.94334008896,0.0242335603310998
"19",2000,59847.9702517999,1100.45983389327,0.0183875882383861
"20",2001,53370.621742257,1693.97698793069,0.0317398773450948
"21",2002,48781.2058248814,1090.71805826637,0.0223593910774143
"22",2003,42719.428831978,1081.83770385212,0.0253242548749224
"23",2004,40095.375096315,1265.05591338499,0.0315511679425903
"24",2005,39311.7177364324,1024.0418341628,0.0260492772416751
"25",2006,38335.9778733083,753.520700800662,0.0196557057522017
"26",2007,37564.6904096159,764.971993974764,0.0203641234796107
"27",2008,27604.8816464638,879.657273239616,0.0318660041548231
"28",2009,23079.3343674408,513.112798047032,0.0222325648512163
"29",2010,22902.9141176035,570.919543268904,0.0249278122573096
"30",2011,21427.8994152083,585,0.0273008561718747
